namaste,नमस्ते
ma,म
timilai,तिमीलाई
maya,माया
garchhu,गर्छु
khaana,खाना
mitho,मिठो
cha,छ
mero,मेरो
naam,नाम
bhisma,भीष्म
ho,हो
ma,म
ghar,घर
janchhu,जान्छु
usle,उस्ले
malai,मलाई
phone,फोन
garyo,गर्यो
aaja,आज
dinner,डिनर
khane,खाने
ho,हो
ke,के
gardai,गर्दै
chau,छौ
hamro,हाम्रो
des,देश
ramro,राम्राे
cha,छ
khaja,खाजा
khelna,खेल्न
khelxa,खेल्छ
khaadi,खाडी
kaali,काली
kalli,कल्लि
khalli,खल्ली
mitti,मिट्टी
miti,मिति
timi,तिमी
sundar,सुन्दर
chau,छौ
sundar,सुन्दर
khutta,खुट्टा
kutaa,कुटा
kukkur,कुकुर
ghar,घर
ghara,घरा
gharai,घरै
ghari,घरी
ghadi,घडी
jasko,जसको
naam,नाम
k,के
ho,हो
tesko,त्यसको
ghar,घर
kahaa,कहाँ
cha,छ
manko,मनको
kura,कुरा
suni,सुनी
deu,देऊ
manko,मन्को
ramailo,रमाइलो
ramri,राम्री
ramailo,रमाइलो
chha,छ
phool,फूल
sanga,संगा
sãga,सँगा
sasto,सस्तो
mahango,महँगो
krodh,क्रोध
krodha,क्रोध
yo,यो
mero,मेरो
ghar,घर
ho,हो
ke,के
timilai,तिमीलाई
suninchha,सुनिन्छ
tarakaari,तरकारी
mitho,मिठो
golbhaeda,गोल्भेडा
pakyo,पाक्यो
jhol,झोल
jhola,झोला
jhyaal,झ्याल
bhrikuti,भृकुटी
aasis,आशिष
asis,अशिष
mero,मेरो
swaasthya,स्वास्थ्य
ramro,राम्रो
cha,छ
ramro,राम्राे
ramailo,रमाइलो
khaam,खाम
dhamma,धम्म
samay,समय
samaya,समय
naam,नाम
naama,नामा
maile,मैले
tyo,त्यो
kaam,काम
garna,गर्न
parcha,पर्छ
timi,तिमी
kaha,कहाँ
janxau,जान्छौ
ma,म
pani,पनि
janchhu,जान्छु
gyan,ग्यान
gyana,ज्ञान
gjana,ग्जन
dram,ड्राम
dhram,ध्रम
trka,त्र्क
ṭca,ट्च
ksa,क्षा
ksya,क्ष्य
