Category,Title,Artist,Lyrics
nepali,"Euta Mancheko, Nepali Song",Narayan Gopal,"1 Contributor
Euta Mancheko, Nepali Song Lyrics
एउटा मान्छेको मायाले
कति
फरक पर्दछ जिन्दगीमा
एउटा मान्छेको मायाले
कति
फरक पर्दछ जिन्दगीमा
एउटा साथीको साथले कति
फरक पर्दछ जिउनुमा
एउटा मान्छेको मायाले
कति
फरक पर्दछ जिन्दगीमा
शिशिर यामकाे जाडोमा
पनि
शिशिर यामकाे जाडोमा
पनि
फुल्दछ फुल मुस्कानकाे
अधाँराे अाैंशीकाे
रातमा पनि
बल्दछ दियो विश्वासको
नयनभरीकाे अाशुमा पनि
नयनभरीकाे अाशुमा पनि
बसेकाे हुन्छ तस्बिर
त्यो
हृदयभरीकाे चाेटमा पनि
लुकेको हुन्छ मायालु
त्यो
एउटा मान्छेको मायाले
कति
फरक पर्दछ जिन्दगीमा
बिछाेड हुदाकाे दुखमा
पनि
बिछाेड हुदाकाे दुखमा
पनि
भराेसा हुन्छ मिलनकाे
झगडा हुदाकाे बेलामा
पनि
पत्यार हुन्छ
साहाराकाे
मायालु बिनाकाे हुदाे
हो कति
मायालु बिनाकाे हुदाे
हो कति
उराथ लाग्दाे संन्सार
यो
पीरति बिनाकाे
हुदाेहाे कति
निरासिकलाे सम्झना यो
एउटा मान्छेको मायाले
कति
फरक पर्दछ जिन्दगीमा"
nepali,गाउँछ गीत नेपाली (Gaucha Geet Nepali),Madhav prasad ghimire,"2 Contributors
गाउँछ गीत नेपाली (Gaucha Geet Nepali) Lyrics
गाउँछ गीत नेपाली, ज्योतिको पंख उचाली
गाउँछ गीत नेपाली, ज्योतिको पंख उचाली
जय, जय, जय नेपाल, सुन्दर, शान्त, बिशाल
सुन्दर, शान्त, बिशाल
गाउँछ गीत नेपाली, ज्योतिको पंख उचाली
गाउँछ गीत नेपाली, ज्योतिको पंख उचाली
जय, जय, जय नेपाल, सुन्दर, शान्त, बिशाल
सुन्दर, शान्त, बिशाल

गण्डकी, कोसी, कर्णाली, मेची, र महाकाली
लेक र बेसी बिउझाउँछन्, लहर लाखौँ उचाली
हिमालचुली बोलाउँछ पहिलो झुल्का निकाली
सगरमाथा शिखरमा पुग्दछ पहिले नेपाली
सीताले सारा भिजाइन दक्षिण लंका-भारत
भृकुटी तारा उदाइन उत्तर चीन-तिब्बत
बुद्धले यहीँ पाएथे ज्ञानको पहिलो मुहान
शिवले यहीँ ल्याएथे सृस्टीको पहिलो बिहान

गाउँछ गीत नेपाली, ज्योतिको पंख उचाली
गाउँछ गीत नेपाली, ज्योतिको पंख उचाली
जय, जय, जय नेपाल, सुन्दर, शान्त, बिशाल
सुन्दर, शान्त, बिशाल
पश्चिम किल्ला काँगडा, पूर्वमा टिस्टा पुगेथ्यौँ
कुन शक्तिको सामुमा कहिले हामी झुकेथ्यौँ?

हामीले हिमाल उठायौँ एसियाको माझमा
सभ्यता बास बसेथ्यो आएर यहीँ साँझमा
यही नेपाली माटोमा दिलको फूल रोपेर
यही पहाडी शिलामा प्रीतको गीत खोपेर
बाँचौला हामी नेपालमा चन्द्र र सुर्य ध्वोजा लिई
नाँचौला हामी हिमालमा ज्योतिको पंख उचाली

गाउँछ गीत नेपाली, ज्योतिको पंख उचाली
गाउँछ गीत नेपाली, ज्योतिको पंख उचाली
जय, जय, जय नेपाल, सुन्दर, शान्त, बिशाल
सुन्दर, शान्त, बिशाल
गाउँछ गीत नेपाली, ज्योतिको पंख उचाली
गाउँछ गीत नेपाली, ज्योतिको पंख उचाली
जय, जय, जय नेपाल, सुन्दर, शान्त, बिशाल
सुन्दर, शान्त, बिशाल
सुन्दर, शान्त, बिशाल, सुन्दर, शान्त, बिशाल"
romanized,KT Nepali,SACAR aka Lil Buddha & Chintu,"3 Contributors
KT Nepali Lyrics
[Sarangi Intro]

[Chorus]
Malai man parcha Keti Nepali
Gau gori kali usko oth ma lali
Ali ali nakhra usko chaala birali
Ghumto tyo hali aaha Keti Nepali

[Verse 1]
Hamro ghar cheu ko ghar ma basne keti sarai pot
Saajha jogging ani gym chai byana ko sadhey das
Chyaara, herdaa herdai malai parisakyo love
Harek sukrabar rati oo niskinche jaana lai club
Tara, choto luga vanda sari mai babaal
Churo lagai, Juro banai, Pari jhai kapaal
Kurdina ma timlai pauna, Chaina kunai sawaal
Timi mero Karishma ma timro Rajesh Hamal
Baa ley namane timlai lanchu bhagai
Hamro maya ko diyo ma balchu salai
Aago nivaideu ki nivaideu mero uni ko vumika
Dhalthey hola thau ko thau maa ma timro oth le chumida

[PRE Chorus]
Na na na na na na na na, Nakai ma fuli
Gajalu tika ani dui chultho navuli
Pa pa pa pa pa pa pa pa, Patalo kammar
Ekchoti layesi Nepali maya ajambar"
nepali,Emerge - Maicha (नेपाली आनुवाद),Genius Nepali Translations (नेपाली आनुवाद),"2 Contributors
Translations
Emerge - Maicha (नेपाली आनुवाद) Lyrics
[Verse 1]
Ful herei, timrai samjhana aayo
Maan mero, silat vhai diyo
Tesaile timi najau
Chodera malai yeta
Huri ayeni paani pareni
Timi matrai, mero maan bhitra

[Chorus]
Kaha jana lageko
Kaha jana lageko
Kaha jana lageko, o mayalu
Najaau ahile, hattarinu parcha ra
Kaha jana lageko re
Kaha jana lageko
Kaha jana lageko
Kaha jana lageko, o mayalu
Najaau ahile, hattarinu parcha ra
Kaha jana lageko re

[Post-Chorus]
Oh oh oh oh
Oh oh oh oh
Mayalu
Oh oh oh oh
Oh oh oh oh
Mayalu"
nepali,Himali Nepali,Mantra Band,"1 Contributor
Himali Nepali Lyrics
गौथली चिरबिर गर्दैन
भने त्यो होइन गौथली
कोयली कुहु भन्दैन
भने त्यो होइन कोयली
गर्भ नै बाट आउछँन
सबै भेष र भाषाली
यो भेष र भाषा नबिर्सौं हामी
हिमाली, नेपाली

कसैले पो भन्ला तिमीलाई
कतै त्यो होइन तिम्रो देश
भन्दिनु उनलाई जहाँ म
उभेछु त्यहिँ हो मेरो देश
सगरमाथा सेरो र
फेरो हिमाली प्रदेश
यसैमा बित्यो विवशता हाम्रो
यहिँ हो मेरो देश

भाषा र संस्कृती सबको जनमको
सबको जनमको अधिकार
कसैमा यो धुन नहोला भने
त्यसैलाई छ मेरो धिक्कार

बाच्न र हास्न पाइन्न भने
पाइन्न भने के को स्वाधिनता?
बाच्नलाई गासँ नभए
भैगो आमा चाहिन्छ
मर्मको कुरा खोल्न गर्भको
गर्भको भाषा त चाहिन्छ"
romanized,Raila Roka - Nepali Ho Ft. Vten (Romanized),Genius Romanizations,"1 Contributor
Translations
Raila Roka - Nepali Ho Ft. Vten (Romanized) Lyrics
[Chorus]
Himal, Pahad, Terai , Hamrai Ho
Reto Seto, Rangai Ho
Chandra, Surya, Hamrai Ho
Dhaka Topi, Hamrai Ho
Daura, Surwal, Hamrai Ho
Sagarmatha, Hamrai Ho
Lipulekh, Hamrai Ho
Garva Garchu Ma, Nepali Ho

[Post-Chorus]
Ho hai ho, Hoo….. Ho ho
Ho hai
Ho hai
Ho hai
Hoo….. Ho ho

[Verse 1: Raila Rokka]
Bir Gorkhalini, Hami Ho
Dhaka Topi, Sirma lagako
Khukuri Vidi Hidako oh
Sansar ko Maan ma, Baseko
Tistha Dekhi Kagada Samma, Hamrai Ho
Prithivi Bajeyle, Pahilai banako
Thachaina mero sathi, bhai, Kata gyo ?
Jaha vayepani, Akhir Timro Maan Ta Nepali Ho
Raila Para Ma, Hidney Ho
Dheusi, Bhailo Pani Khelney Ho
Kaan Ma, Jamara
Nidhar Ma, Tika, Aasish
Ama, Buwa Ko
Sir Ma, Laliguras Ah Ha ! Kati Suhako
Tesaile !
Maan Badlidaina
Samaye Badley Pani, Hamro
Maan Badlidaina
Dui Haat Jodi Namaste ! Nepali Ho
Nepal Sagarmatha Ko, Mutu Ma Cha
3 Crore Nepali, Eutai Nepali Ho
Nepali Mato, Nepali Sabai Ko
Hami Nepali, Nepal Ko Rakchak Ho
Hami Sabai Ko, Nepal Ama Ho !
Janmiye Yehi Mato Ma, Ma
Jalchu, Yehi Mato Ma, Ma
Nepal, Mero Chati Ma Cha
Swarga Ho Yo, Chaddina Ma"
nepali,"Malai Chodi Mero Chaya, Nepali Song",Narayan Gopal,"1 Contributor
Malai Chodi Mero Chaya, Nepali Song Lyrics
मलाई छोडी मेरो छायाँ
कतै झरेछ
तिमीसम्म आइपुग्दा
साँझै परेछ

त्यसै कति बिते मेरा
चिसा चिसा रातिहरु
तातो माया संगालेर
खोजिरहें साथीहरु
वैंश छँदा नपुगेको रातै
ढलेछ
तिमीसम्म आइपुग्दा
साँझै परेछ

नलेखेको गीत मेरो
पाखाभरि गाए जस्तो
नदेखेको माया मेरो
आँखाभरि पाए जस्तो
जिन्दगीको छेउमा कतै
ज्योति झरेछ
तिमीसम्म आइपुग्दा
साँझै परेछ"
nepali,いきものがかり (Ikimonogakari) - ブルーバード (Blue Bird) (नेपाली आनुवाद),Genius Nepali Translations (नेपाली आनुवाद),"4 Contributors
Translations
いきものがかり (Ikimonogakari) - ブルーバード (Blue Bird) (नेपाली आनुवाद) Lyrics
नीलो त्यो आकाशमा, फिजाइ पखेटा तिम्रो
उड्नेछ तिम्रो मन
नीलो त्यो आकाशमा पन्छी बनी ।

सिख्नेछौ धेरै कुरा के हो दुख भनी
अझै आउदैछन् निराशाहरू पनि
तिमी त उडी गयौ निलो आकाशमा
मेरो यो भावना सबै छोडी

अनौठो यो संसर देखि बिउझिएपछि तिमी
फिजाइ पखेटा तिम्रो र उडिजाउ ।

नीलो त्यो आकाशमा , फिजाइ पखेटा तिम्रो
उड्नेछ तिम्रो मन
नीलो त्यो आकाशमा पन्छी बनी ।
ठूलो त्यो आकाशमा , बादलहरूको भीडमा
उड्दैछ तिम्रो मन
बादलहरूको माझ पन्छी बनी

कठिन नै छ उडान
बुझ्दैछु व्यथा त्यो
नमान हार , अघि बड
उज्यालो भविष्य तिर"
nepali,K Pais Nepali ?,The Shadows 'Nepal',"1 Contributor
K Pais Nepali ? Lyrics
के पाइस् नेपाली? केरा

सत्र हजारलाई शहिद बनाइस्
राजा निकालिस्, अनि बिजय मनाइस्, हेइ
गोली सलाइस्, जङ्गलमा डडाँइस्, सत्तामा आइस् अनि भुँडी फुलाइस्, हे

के पाइस् नेपाली? केरा

सिँन्का पनि नधाल्नेलाई Mayor बनाइस् तैँले
भुत्रो पनि ननापिने लोकतन्त्र ल्याइस् तैँले
दस कक्षा नि नपढेको मन्त्री बनाइस् तैँले
चुट्किलाको मास्टरलाई प्र.म. बनाइस् तैँले

के पाइस् नेपाली? केरा
हरियो केरा, पहेलो केरा, पाकेको केरा, काँचो केरा
हरियो केरा, पहेलो केरा, पाकेको केरा, काँचो केरा
हरियो केरा, पहेलो केरा, पाकेको केरा, काँचो केरा
हरियो केरा, पहेलो केरा, पाकेको केरा, काँचो केरा

के पाइस् नेपाली? केरा
बिचार पोख्छस् Computer मा, दुई हजार Likes, अनि
रोजगारीको Suitcase बोकि बिदेश पलाएन, अनि
सपना देख्छस् पानी जहाजको, गाडी खोलामा, अनि
गु दिमाग लाइस्, आफू भेडा बनाइस्, अनि

के पाइस् नेपाली? केरा"
nepali,ROSÉ - Gone (नेपाली आनुवाद),Genius Nepali Translations (नेपाली आनुवाद),"4 Contributors
Translations
ROSÉ - Gone (नेपाली आनुवाद) Lyrics
[Verse 1]
सम्झन्छौ भनेर सोचेको थिँँए, तर बिर्सियौ जस्तो छ
तिमीलाई दोश पनि दिन सक्दिन, जब तिमी आफैँ हराइसकेको छौ
Oh, yeah
थाकिसके सधैँ पर्खिरहदा
Oh, yeah, yeah
फोन नम्बर फेरेछौ, त्यसैले मेरो कल नपाएको होला
मैले आफ्नो सबै दिएको थिँए, अहिले मसंगै संलग्न हुन चाहान्नौ
Oh, yeah, yeah
आफै सामना गर्ने बेला भयो
Oh, yeah, yeah

[Pre-Chorus]
तिम्रो लागि म एकमात्रै हुन चाहान्छु
तर तिम्रो लागि हामी सक्किसक्यौँ
भन, किन मलाई पीडा दिएर गयौ?
अहिले म एक्लै रुइरहेको छु
मजाकको लागि मेरो मन तोड्यौ
मेरो माया सबै लग्यो र मलाई सुन्न बनायौ
अहिले बिहानको ८ बजिसक्यो
एकबिहानै मनमा घृणा भरिसक्यो (सबै तिमीले गर्दा)

[Chorus]
यो अर्को दुःखी र साँचो कथा
म पीडा महसुस गर्न सक्छु, तिमी?
मलाई निराश पार्ने, मेरो मन नीलो रंगाउने तिमी नै भयौ
म तिमी नयाँ मान्छे सँग देख्न सक्दिन
म उ र तिमी माथि सराप हालिदिन्छु
अब पछाडि हेर्दिन, मेरो लागि तिमी मरेर गयौ
मेरो माया पनि हरायो"
