category,title_clean,artist_clean,lyrics_devanagari,line_count,char_count,script_style_original,script_style_cleaned,transliterated,source,stage,source_url
romanized,5:55 : Maya (High Sessions) Lyrics and Chords - Paan Ko Pat,,"लिरिक्स:
बुझ्चु तिम्रो कुरा गरो हुन्चा सबलाई साथ दिना
सोच्चु तिम्रै बारेमा हर्बेला साँझ रात दिना
धोका दिन्न भाग्दिन,हात समाउ ना चड्डिन
जैले तिम्रै चेउ मा अलपत्र कैले पर्दिना
प्रेमपत्र लेख्न जानिना,माया गर्न नै आएन
आई लव योउ बेबी म्वुहाआ"" टेस्टो आवस्यक भन्थनिन
धेरै चान पचि लाग्ने अरु लाई कैले चनिना
दिन्चु साथ जिन्दगी भर कस्सम एस्सै खादिन
आफू ता कतै जडिना,घुमाउन नी लडिना
फुल को थुङ्गा किनी माया बस्ला भनी मन्दिना
रगता ले चिट्टी लेख्न होला हात काट्दिन
झुट बोल्ने बानी चैन कैले पानी धातदिन
बेबी डार्लिङ"" दुई चार चोटी भनी नाटक पर्दिना
मान्छे चुइन देखावोटी कैले माया मर्दिना
जित मात्र हुन्चा तिमी भये पुग्चा हर्दिना
गीत गाउदै सधै माया को डोरी मा बढिना...
आइदेउ तिमी ! आइदेउ तिमी!
अरु जस्तो हैन सधै जसो हामी मिल्ने !
जाति अफ्ठ्यारो भये नी हात समै हिड्ने!
मेरो इच्छ्या,चाहना माया खुसी टिमलाई दिने !
माया मा पारी बौलाउने को चैन कामी
भेट नभये पानी जैले फोन मै झुण्डी रानी
कैले बु कैले बाए कैले कहि ""हनी
कैले उउउ कैले के सकिदैन गानी
कैले धोका,कैले पिडा,कैले खुसी अनी
गल्ती दुबैको एकरका लाई दोष दिरानी
नचाइनी कुरा कानी सधै उत्तर कोझिरानी
अन्धकार कोठा रात भरि बसी सोचिरानी
मा चाइ टेस्टो परिणा ,मिठा सब्ध भनिन
होला तिम्रो लागी टेस्टो मरिह्याटी गरिना
माया गर्न कोझ्दा मलाई भयो होला कठिना
तारा तिम्रै पचि मा ता अन्तै कतै हातिना
आफूलाई बुझ्न चडिसके टिमलाई बुझ्चु मा
भना तिम्रो मान मा के चा सबै कुरा सुन्चु मा
कैले हास्चु रुन्चु मा,सपना ठूलो बुन्चु मा
आँखा चिम्म गरा ठ्याक्कै तिम्रै चेउ मा हुन्चु मा...
आइदेउ तिमी ! आइदेउ तिमी!
अरु जस्तो हैन सधै जसो हामी मिल्ने !
जाति अफ्ठ्यारो भये नी हात समै हिड्ने!
मेरो इच्छ्या,चाहना माया खुसी टिमलाई दिने !",41,1529,romanized,devanagari,1,site_paankopat.com,site_paankopat.com,https://paankopat.com/2023/12/30/555-maya-high-sessions-lyrics-and-chords/
nepali,5:55- Samadhi Lyrics - Paan Ko Pat,,"जय शम्भो शिव जि
धर्तिमा आको छौ धेरै पछि
ध्यान देर पूरा, सोच्दै गहिरो कुरा, सोची हेरौ हामी एकछिन बसि
आँखा चिम्म गरि, प्रश्न दिमाग भरी, आनन्दले आफै भित्र गर फील
जति अफ्ट्यारो यो लाइफ मा भए पनि हुनु पर्छ निकै संबेदनसिल
पर्दै छु जिल आहारा ताकेर बसेका छन् यहाँ गिद्द र चील
खुट्टा तान्नेहरु कति हुन कति यहाँ दुखी रन्छ सबको चित्त र दिल
पैसा त कमाउलास, धेरैले बनाउलास जिन्दगी भर लाई नै तिर्ने हो बिल
सबसग हासी दे, हास्दै नै बाचिदे, म भन्छु शत्रु संग नि मिल
लाइफ आइएस रियल यहि नै हो यथार्थ, भन तिम्लाइ चै के था छ?
मनमा दुख्या छ चोट, मुटुमा खोट, प्रश्नले सताछ
मरेर आउने हो यहीँ, उपाए अरु म देख्दिन केही
चली रन्छ दिन, घुमी रन्छ घडी, त्यो भन्दा बढी त मलाइ नि के था त
म मान्छे हिप्पी छु, जहिले पनि हुन्छ मेरो ट्रिपी मुड
डाडाकाडा बाट मैले तोप ल्याको छु, हान ला ड्याम्मै शाउल्ड बे गुड
मुख सुख्खा आँखा लठ्ठ, चिसो पानी खान थाल्छु घुट कि घुट
खल्ती भुक्का स्टोन्ड म त, सत्य बोली राछु बोल्दिन झुठ
हाइ हुँदै स्काई छुदै त्रिनेत्र निकाल्दिउ, अर्को बाल्दिउ
बोटै उखाल्दिउ, गेडा डाठलाई केलाइ फाल्दिउ
भेडा जातलाइ यसै हातलाइ, भाच्दिउ दातलाइ, मुखलाइ टाल्दिउ
सबजना चुप मुजि, निहु खोजि केही पनि हुदैन
धर्तिमा बसेर आकाश छुदैन
धर्तिमा बसेर आकाश छुदैन
धर्तिमा, धर्तिमा बसेर आकाश छुदैन
जिन्दगी बुझ्न नी थालेको छु
लाइफ भन्या पुजल मिलाउन सक्छ्स, धेरै न बोली मुख टालेको छु
भित्रको आत्मालाइ जगाउन सक्छ्स, जादु मन्तर पनि जानेको छु
जुनसुकै बेला नि बिलाउन सक्छस
ब्राह्मण निकै नै ठुलो छ हामी है भुसुना, सोच आफै का पुग्न सक्छस
कपाल जटाधारी मेरो लामो जुँगादारी
दिमाग भरी प्रश्न मेरो जैले सोची मात्र राथी
बस्दिन आफैलाई अब धिक्कारी
म बनाउछु लक्ष्य म आफै शिकारी
हुदिन अल्छी म पर्दिन पछि म, सिकिन्छ नौलो चिज बारम्बार हारी
लाइफ हेर्दा घिनलाग्छ, गर्छु जे ठिक लाग्छ, फेरिन दिन लाग्छ तेसैले चुप
मनभरी चिन्ता छ सोच्दा नै दिन जान्छ, संघर्ष दिनहु गरेको छु
चाड्चाडो हिंड्दा त के नै या मिल्ला त हेरेरै हिंड्दा नि लडेको छु
राम्ररी सोच्दा त कुरा सब बुज्दा त ग्राविटी ले पो म अड्केको छु
जैले नि राप पनि हान्दिन सुनी
म दायाँ र बायाँ न माथी न मुनि र
धेरै छ बाटो चाडो हिड जाठो
बिस्तारै हिडेर चै कहिल्यै नि पुगिन्न
अरुले भनेको पनि त सुन
हिंड्दै छस बाटो चै भए भर खुन
गाह्रै छ पुग्नलाइ गन्तब्य तिर नलेर त्यो पिर सहि बाटो चै चुन
छुनु छ मुन, छुनु छ चन्द्रमा, बिश्वासै लाग्दैन तन्त्र र मन्त्रमा
आफैले नगरी केहिपनी हुँदैन त्यसैले एक्लैनै मर्ने हो अन्त्यमा
यो ठुलो प्रान्तमा कोहि ठुलो हुदैन आफैले आफैलाइ जहिल्यै नि ठान्दैमा
बस्न चाहान्छु म अहिले एकान्तमा, न बोली न चली न हलि शान्तमा
ॐ शान्ती जैले मैले खुसी चान्थी
गर्ने सबै आफैनै हो या, भर पर्ने को या? को छ या साथी?
सबजना खोया, यस्तै नै भो या, बारम्बार मन्दिर र मस्जिदमा जान्थी
मारामार काटाकाट सबजना एउटै जात, समाती हात बरु बन्द गर क्रान्ति
ठुलो पृथ्वीमा, मेरो अनेक स्थितिमा
धेरै सोचेरै होला, नदि र खोला चल्न थाल्यो दिमाग
धेरै नटोला, सुर्य नै छोला
बेस्मारी आफैलाइ एकताली चिमाट
राप हन्न थलेको धेरै त भाछैन
ल है त नमस्ते मेरो नाम चिराग
ॐ नमः शिवाय
थिस आइएस ५:५५
जय शम्भो",62,2747,mixed,devanagari,1,site_paankopat.com,site_paankopat.com,https://paankopat.com/2023/12/30/555-samadhi-lyrics/
nepali,A Maya lyrics / PRASAD 2 Movie Song - Paan Ko Pat,,"यो मनमा मेरो
पिडाको भारि
बुझिदिने कसले हो
पिर र ब्यथा कसलाई म सुनाउ
सुनिदिने कसले हो
सुनिदिने कसले हो
बरै
बुझिदिने कसले हो
बिरानो लाग्यो आफ्नै दुनिया
पराइ भए आफ्ना
बिलाएर गए मायाका कुरा
अधुरै रहे सपना
ए माया
ए माया
मा आफ्नै देशमा भए परदेशी
मेरो जिन्दगि आसुको बलेसी
मेरो जिन्दगि आसुको बलेसी
यो मनमा मेरो पिडाको भारि
बुझिदिने कसले हो
परु कसको भर
जता जाउ डर
स्वार्थि रैछ सहर
सास फेरे पनि
मरे तुल्य जीवन
केहि छैन रहर
ए माया
ए माया
मेरो जिन्दगि आसुको सागर
मेरो ठेगाना काडाको नगर
मेरो ठेगाना काडाको नगर
यो मनमा मेरो
पिडाको भारि
बुझिदिने कसले हो
ए माया || प्रसाद 2 मोवी सोङ || बिपिन कार्की, केकी अधिकारी || केशब भाबुक, अस्मिता अधिकारी
सोङ: ए माया...
वोकल: केशब भाबुक, अस्मिता अधिकारी
लिरिक्स: सुधा मरहट्टा
म्युजिक: हरी लम्साल
एरेन्जर: उदय राज पौडेल
मोवी: प्रसाद 2
डिजिटल राइट्स: ओएसआर डिजिटाला शुवश थापा प्रेजेन्टेसन
मोवी: ""प्रसाद 2
कास्ट: बिपिन कार्की / केकी अधिकारी / अर्पण थापा / महेश त्रिपाठी
डोप: राजेश श्रेष्ठ
कोरियोग्राफर: विक्रम स्वर
व्राइटर: सुशील पौडेल
एडिटर: मिलान श्रेष्ठ
कलरिस्ट: राजेन्द्र मोक्तान
आर्ट डाइरेक्टर: सजन थापा
सिंक साउन्ड / साउन्ड डिजाइन: उत्तम न्यौपाने, सीएएस
ब्याकग्राउन्ड स्कोर: सैलेश श्रेष्ठ
सिंगर्स: राजन राज सिवाकोटी, मिलान नेवार, केशब भाबुक, अस्मिता अधिकारी
म्युजिक: राजन राज सिवाकोटी, हरी लम्साल
लिरिक्स: राजन राज सिवाकोटी , सुधा मरहट्ठा
एरेन्जर / गुइतर : देबेश राई
मिक्सिङ / मास्टरिङ : श्याम स्वेत रशैली",56,1331,mixed,devanagari,1,site_paankopat.com,site_paankopat.com,https://paankopat.com/2023/05/16/a-maya-lyrics-prasad-2-movie-song/
nepali,Aa Hai आहै Lyrics by Ekdev Limbu - Paan Ko Pat,,"आहै, कुरा पोख्न नै गाह्रो भो
मनभरि गुम्सेर साह्रो भो
आँखा जुध्यो, नजर फेर्न नै गाह्रो भो
अलिकति मिठो हाँसोमा अल्झियो
लडेँ, लडेँ म त
(ओहो, ओ) फसेँ, फसेँ म त
(ओहो, ओ) परेँ, परेँ म त मायामा
लडेँ, लडेँ म त
(ओएच हो ओओ फसेँ, फसेँ म त
परेँ, परेँ म त मायामा
भन्दै छु मेरो मनको कुरा
तिमी पनि भन न
सुन्छौ कि मेरो चाहना?
बरु लेख्दिऊँ कि शब्दमा?
कागजमा कोर्दा त मेटिएर जान्छ
मुटु नै दिन्छु, तिमीसँगै हुन्छ
लडेँ, लडेँ म त
फसेँ, फसेँ म त
परेँ, परेँ म त मायामा
लडेँ, लडेँ म त
फसेँ, फसेँ म त
परेँ, परेँ म त मायामा
आहै, कुरा पोख्न नै गाह्रो भो
मनभरि गुम्सेर साह्रो भो
आँखा जुध्यो, नजर फेर्न नै गाह्रो भो
अलिकति मिठो हाँसोमा अल्झियो
लडेँ, लडेँ म त
(ओएच हो ओओ फसेँ, फसेँ म त
परेँ, परेँ म त मायामा
लडेँ, लडेँ म त
फसेँ, फसेँ म त
परेँ, परेँ म त मायामा
परफर्म्ड बाइ एकदेव लिम्बु आर्टिस्ट: एकदेव /सुजाता थुलुङ / स्वोस्तिका कटुवाल कम्पोज्ड एन्ड लिरिक्स: एकदेव/बेयोन्ड",33,842,mixed,devanagari,1,site_paankopat.com,site_paankopat.com,https://paankopat.com/2023/12/26/aa-hai-%e0%a4%86%e0%a4%b9%e0%a5%88-lyrics-by-ekdev-limbu/
nepali,Aadha Mann Lyrics - Dhoje - Paan Ko Pat,,"येतै चाउ कहि, बुलाउ झै लाग्यो
हराये कहि, पचाउ झै लाग्यो
कसरी राखौ माआ, माना का कुरा यी
कसरी बुझु मा, चाहना तिमिरा टीआई
गहिराई तिम्रा नयाँ मा
ड्युबी हेरा ना
बोलाई का मीठा भाका मा
लोभे किना
सपना मै रामचौ की , भना ना
आधा मन तिम्रो पानी, आधा मा
क्याहे की कतै , टीआई माना ले मलाई
बोलाये की कतै, ये आँखा मा मलाई
कल्पना ना मै बत्तिये चान
ये पैला हरू
बोल्दै नबोली, आत्तियेचन
ये मुटु हरू
सम्झना मै रामचौ की भना ना
आधा मान तिम्रो पानी , आधा मा
कसरी राखौ माआ, माना का कुरा यी
कसरी बुझु मा , चाहना तिमिरा टीआई
जुधेका हुन्छन् ॲाखा र मिलेका हुन्छन् मन पनि,
नबोल्ने ती ओठहरूले छाड्छन् कथा अधुरै अनि,
नबढेका ती पाईलाहरू र रित्ता ती हातहरूले,
शायद खोज्दै छन् हराएका आधा मन अनि ॥",24,661,mixed,devanagari,1,site_paankopat.com,site_paankopat.com,https://paankopat.com/2023/03/25/aadha-mann-lyrics-dhoje/
romanized,Aafno Katha - Paan Ko Pat,,"सोङ: आफ्नो कथा
आर्टिस्ट: सबिन राई
शुरुवाट गरु कसरी गरु मा आफ्नो कथा
जहिँ को त्यहि छ मेरो त्यहि पुरानो ब्यथा
खुशी भनेको त्यस्तै हो, जसो तासो बाँचुला
मानिसको भिड माझ मा परिचित बनुला
अझै के चाहन छोउ, दिना मा तयार छु
शरीरै माग्छौ भने हाजिर छ, मात्र स्वास छोडी देउ
अझै धेरै जिउनु छ, अझै ताडा जानुछ
जिन्दगीको किताब लाई, एकान्त मा बुझ्नु छ
गुइतर सोलो: एएम, एएम, डीएम, जी, एएम, एएम, एफ, जी, एएम
एएम, एएम, एफ, एएम, जी, एएम, एफ, जी, एएम
बाँचेकै छु अझै मा, आफ्नो भर लियेर
यही नै हो भने जिन्दगी, के गरुन रोयेर
आउदैन फर्केर गयेको त्यो प्यारो छन्
सकिँदैन बिर्सेर, लागेको त्यो चोट झन्
अझै के चाहन छोउ, दिना मा तयार छु
शरारै माग्छौ भने हाजिर छ, मात्र स्वास छोडी देउ
अझै धेरै जिउनु छ, अझै ताडा जानुछ
जिन्दगीको किताब लाई, एकान्त मा बुझ्नु छ",20,722,romanized,devanagari,1,site_paankopat.com,site_paankopat.com,https://paankopat.com/2016/03/24/aafno-katha/
romanized,Aaja Feri - lyrics / Swoopna Suman - Paan Ko Pat,,"सम्झना ले आँखा रशायो
बिर्सियेको माया साल-बलायो
माना भरि कालो बदल छायो
हाता माथि हाता राखी दिने...
छैन तिम्रा टीआई कोमल हाथ हरू
माना आतियेको बेला सम्हाली दिने...
छैन तिम्रा सुरिला बाट हरू
थाहै छैन कहा गल्ती भयो
नाटा चोखो मान को टुटी गयो
अबा मा लड्दै छु
भुलाउन खोज्दै छु
अबा मा लड्दै छु
भुलाउन खोज्दै छु
तिम्रो याद सधैलाई.. सधैलाई...
हामी सँगै हुदा जानी नजानी
तिम्रो चित्त मैले दुःखये होला
तिम्रो सानो सानो भुल मा पानी
तिम्रो आँशु मैले बगाये होला
यूएमएम.., भुल सम्झी तिमी माफी देउ
काडा सम्झी झिकी फ्याकी देउ
तिम्रो मेरो यादा हरू लाई
हरू लाई.. हरू लाई...
भुल सम्झी तिमी माफी देउ
काडा सम्झी झिकी फ्याकी देउ
तिम्रो मेरो यादा हरू लाई
हरू लाई...
लिरिक्स/ कम्पोजिटन/ वोकल्स : स्वुप्न सुमन
ब्यान्ड मेम्बर्स
कीबोर्ड: आयुष बहादुर श्रेष्ठ
बास: अलिश केसी
गुइतर: अशिम तामाङ
ड्रम्स: सरोज घिमिरे चेत्त्री
मिक्स्ड/ मास्टर्ड बाइ : फिरोज बज्राचार्य , अबिसेख पुन
रेकर्डेड एटी : 5150 स्टुडियो
प्रोजेक्ट म्यानेज्ड बाइ : राशिक भट्टराई
स्ट्रोय/ कन्सेप्ट : ज्योत्स्न योगी
कास्ट
ज्योत्स्न योगी
शैलेक बिक्रम शाह
आयुष धोज बिस्ता
डाइरेक्टर : अन्जोन लिम्बु
डी.ओ.पी : नयन राई
एडिटर : अशोक अधिकारी , न्हुजन डोंगोल
कलरिस्ट : अन्जोन लिम्बु
आर्ट डाइरेक्टर : निस्सीम श्रेष्ठ
प्रोडक्सन म्यानेजर : निसिम गोर्खाली",46,1174,romanized,devanagari,1,site_paankopat.com,site_paankopat.com,https://paankopat.com/2023/05/24/aaja-feri-lyrics-swoopna-suman/
romanized,Aaja Matra Lyrics by Sajjan Raj Vaidya - Paan Ko Pat,,"हेरा तिमीलाई के भनु मा,
कसरी बुझाउने किना माया तिमीलाई धेरै गर्चु
था चा तिमीलाई धेरै भन्नु चा
कसरी भुझाउने किना खिले सम्म सपना मा मात्रै थियौ
कसरी भुझाउने किना तिमीलाई सधै हेरी राक्चु
आजा मात्र बिहाना सपना थियो
तिम्रो आवाज तिम्रो बोलाई कल्पना मा थियो
कसरी नहेर्ने तिम्रो आँखा को इशारा सकिदैन बिर्सना
तिम्रो मुस्कान तिम्रो ...
हेरा तिमीलाई के भन्नु अबा
तहा नै चैन सबै कुरा काटा हराई सक्यो
के तहा रा सचाई येस्तो हुन्चा भनी
कसरी बुझाउने तिमीलाई
अहिले सम्म तिमीमा मा हराई बसे
कसरी बुझाउने किना तिमीलाई सधै खोजी रहनाचु
आजा मात्र बिहाना सपना थियो
तिम्रो आवाज तिम्रो बोलाई कल्पना मा थियो
कसरी नहेर्ने तिम्रो आँखा को इशारा सकिदैन बिर्सना
तिम्रो मुस्कान तिम्रो ...
अबा बिआउझै संग डराउन पर्दैन
तिम्रो आवाज सुन्न लाई निदाउन पर्दैन
आँखा चोपी कल्पना मा हराउन पर्दैन
तिम्रो न्यानो अंगालो मा बस्न",23,781,romanized,devanagari,1,site_paankopat.com,site_paankopat.com,https://paankopat.com/2023/12/25/aaja-matra-lyrics-by-sajjan-raj-vaidya/
nepali,Aamaa Lyrics Yama Buddha - Paan Ko Pat,,"कसरी व्यक्त गरौ? म यी मेरा भावना
सधैं खुसी राख्न सँकु तिमीलाई मेरी आमा
जुनीजुनी रहोस मेरो साथमा तिम्रो छाँया
तिम्रो आशीर्वाद अनि तिम्रो अजम्बरी माया
दैबले सधैं खुशी थमाइदिउन् तिम्रो हातमा
सुस्ताउन पाऊँ सधैभरी तिम्रो काखमा
झरनाको पानी भन्दा निश्चल तिम्रो ममता
हिमाल झै बिशाल तिम्रो संघर्ष क्षमता
अतितका सबै अप्ठ्यारा क्षण एक्लै रुदै सह्यौ तिमीले
तर पुछि दिन्थ्यौ मेरा सबै आशु पछ्यौरिले
स-साना आवश्यकता पूरा गर्न पछि हटेनौ
हाम्रो भविस्यलाई लड्यौ आफ्नै खयाल गरेनौ
महसुस हुदैछ मेरा सबै भुलहरु, आज
पश्चात्ताप गर्दैछु म बिहान-साझ
कति जानी नजानी मैले पिडा दिए होला
माफ गरिदेउ आमा म तिम्रो बदमास छोरा!
तिम्रो मुहारमा सधैं हाँसो होस
तिम्रो सदैबको आयु होस
तिमी भन्दा ठूलो इश्वर हुँदैन भो
तिमी देवी तिमी नै मेरो दैब हो
तिम्रो मुहारमा सधैं हाँसो होस
तिम्रो सदैबको आयु होस
तिमी भन्दा ठूलो इश्वर हुँदैन भो
तिमी देवी तिमी नै मेरो दैब हो
सुर्यको ताप छेकी दिन्छ आमा तिम्रो छायाले
सर्वश्रेष्ठ रहने छौ आमा तिमी जहिले
दु: ख पीडा सहेर नि मुसकुराउछौ मायाले
मातृप्रेम भन्दा ठूलो अरु हुने छैन केही
म सक्दिन आमा तिमीलार्इ कोहि सङ्ग नि दाज्न
पवित्र यो बन्धनलाई कसले सक्छ र नाघ्न
त्यो कस्तो मानिस जसले सक्छ आफ्नो आमा त्याग्न
अरुको कुरा सुनेर जो खोज्द छ भाग्न
गर्न गाह्रो छ वर्णन तिम्रो सहनसिलता
रोकिएला खोला रोक्ने छैन तिम्रो ममता
केही नबोले नि तिमी बुझछौ मेरो मौनता
मेरि आमा तिमी नै हौ मेरो देविदेवता
जब म रुन्थे पिडाले आधी रातमा
स्वर्गको अनुभूति पाउथे तिम्रो काखमा
भाग्यमानी भएछु म तिमीलाई पाई साथमा
तिमीले सिकायौ आमा कलम कापी च्याप्न
तिम्रो मुहारमा सधैं हाँसो होस
तिम्रो सदैबको आयु होस
तिमी भन्दा ठूलो इश्वर हुँदैन भो
तिमी देवी तिमी नै मेरो दैब हो
तिम्रो मुहारमा सधैं हाँसो होस
तिम्रो सदैबको आयु होस
तिमी भन्दा ठूलो इश्वर हुँदैन भो
तिमी देवी तिमी नै मेरो दैब हो
मैले आज सम्म कति रुवाए होला
जति बिश्वास गर्दा पनि दिए सधै धोका
अचम्म लाग्छ तैपनि देख्दा मायाको खोला
विशाल मुटु छ तिम्रो त्यसैले होला
मेरो प्यारो छोरा भन्दै अङ्गालोमा बाध्छौ
मेरो निम्ति मर्छौ तिमी मेरै लागि बाच्यौ
मेरो निम्ति रोयौ अनि मेरै लागि हास्छौ
तर जति गर्दा पनि दु: ख मात्र पायौ
तर आमा अब म ठूलो हुँदै छु
तिम्रा हरेक त्यागको कारण कुरो बुझ्दै छु
एकलै बितेका पलहरु सम्झिदै रुदैछु
कुकुर थिए म बल्ल मान्छे हुन सिक्दैछु
सधै साथ दिनेछु अब आउने दिनमा
टाढा भगाई दिन्छु सबै भय र चिन्ता
सेवा गर्न चाहन्छु म तिम्रो सधै भरि
यसै गरि माया मात्रै पाइराखु मनैभरी
तिम्रो मुहारमा सधैं हाँसो होस
तिम्रो सदैबको आयु होस
तिमी भन्दा ठूलो इश्वर हुँदैन भो
तिमी देवी तिमी नै मेरो दैब हो
तिम्रो मुहारमा सधैं हाँसो होस
तिम्रो सदैबको आयु होस
तिमी भन्दा ठूलो इश्वर हुँदैन भो
तिमी देवी तिमी नै मेरो दैब हो",72,2418,devanagari,devanagari,0,site_paankopat.com,site_paankopat.com,https://paankopat.com/2023/12/27/aamaa-lyrics-yama-buddha/
romanized,Aankha maa - Paan Ko Pat,,"सोङ: आखामा
आर्टिस्ट : नबिन के भट्टराई
जी एएम सी डी
आँखामा तिमीलाई पौचु मा धेरै
धेरै
जी.......................एएम.सी............डी..........जी....
सपनी मा तिमीलाई पौचु निन्द्रै
भरि
इएम..........सी...डी.......................जी........
जलाई आफूलाई देखाउन मा सक्दिन
जी...............एएम.सी.........डी......................जी.
माया तिमीलाई गर्चु मा धेरै
धेरै
जी..........एएम.सी...........डी.................जी.......
लियी तिमीलाई हिड्चु मा सधै सधै
जी................एएम....सी..................डी.................जी.......
अँगालोमा तिमीलाई राख्नेछु मा
सधै सधै
इएम...............सी...डी.......................जी...
टुक्र्याए आफूलाई जोड्न मा सक्दिन
जी...............एएम.सी.........डी......................जी.
माया तिमीलाई गर्चु मा धेरै
धेरै",23,733,romanized,devanagari,1,site_paankopat.com,site_paankopat.com,https://paankopat.com/2016/03/24/aankha-maa/
