roman,devanagari
romanized,devanagari
jaba,जब
timi,तिमी
ayou,आयौ
mero,मेरो
jindagima,जिन्दगीमा
haat,हात
samai,समाई
kahi,कहीँ
door,दूर
jana,जान
beglai,बेग्लै
bho,भो
duniya,यो
hijo,दुनियाँ
bhanda,हिजोभन्दा
achanak,अचानक
badliyo,"बद्लियो,"
manau,"मानौँ,"
tyo,त्यो
hoina,होइन
bipanima,बिपनीमा
maile,मैले
bhuli,भुलिदिएँ
diye,यो
sara,सारा
jamana,जमाना
din,दिन
duiguna,"दुईगुना,"
raat,रात
chauguna,चौगुना
mayako,मायाको
yasto,यस्तो
modma,मोडमा
hami,हामी
aaipugyou,आइपुग्यौँ
bhabishyako,भविष्यको
mitho,मीठो
kalpana,कल्पना
bhulisakyou,बुनिसक्यौँ
chau,छौँ
timro,तिम्रो
pyaro,प्यारो
manche,मान्छे
cha,छ
nai,नै
hau,हौ
malai,मलाई
maya,माया
garne,गर्ने
khusi,खुसी
dine,दिने
nachutos,नछुटोस्
hamro,हाम्रो
darilo,दरिलो
sath,साथ
paschatap,पश्चात्ताप
chaina,छैन
kunai,कुनै
yaha,यहाँ
jaha,जहाँ
jati,जति
j,जे
chha,छ
afno,आफ्नो
bhanne,भन्ने
pagal,पागल
banaki,बनाकी
che,छे
ghayal,घायल
usko,उस्को
bhet,भेट
hunda,हुँदा
u,ऊ
bolaunche,बोलाउँछे
jiskaudai,जिस्क्याउँदै
ramailo,रमाइलो
lagcha,लाग्छ
jali,जाली
rumal,रुमाल
chadera,छाडेर
janera,जानेले
dharo,धरोधर्म
dharma,यो
kura,कुरा
sancho,साँचो
biteka,बितेका
kurale,कुराले
kehi,केही
chota,चोट
lagda,लाग्दा
tadha,टाढा
huda,हुँदा
dherai,धेरै
dukha,दुःख
jastai,जस्तै
timilai,तिमीलाई
pani,पनि
testai,त्यस्तै
huna,हुन
sakcha,सक्छ
meri,मेरी
mayalu,मायालु
sangai,संगै
base,बसे
jasto,जस्तो
bipanale,विपनाले
jhaskai,झस्काइ
dida,दिँदा
kalpi,कल्पी
roye,रोएँ
bhane,भने
kahile,कहिल्यै
narunu,नरुनू
milan,मिलन
nabhai,नभइ
bite,बितेँ
bichalit,बिचलित
nahunu,नहुनू
kati,कति
purano,पुरानो
ho,हो
bhanera,भनेर
feri,फेरि
kina,किन
berthaima,ब्यर्थैमा
metne,मेट्ने
kosish,कोशिस
garchau,गर्छौ
harek,हरेक
maanis,मानिस
aatma,आत्मा
kate,काटे
dukhcha,दुख्छ
man,मन
jiuna,जिउन
deu,देउ
ma,म
hu,हुँ
prakriti,प्रकृति
hasna,हाँस्न
bachna,बाँच्न
marchau,मार्छौ
tyati,त्यति
bujdainau,बुझ्दैनौ
maan,मन
ki,कि
dhunga,ढुंगा
ramna,रम्न
ujaad,उजाड
mausamma,मौसममा
suna,सुन
dhadkan,धड्कन
ekchin,एकछिन
pachi,पछि
yasko,यसको
aawaj,आवाज
timlai,तिमीलाई
sadhai,सधैं
daaki,डाकी
rahancha,रहन्छ
paari,पारी
dadama,डाँडामा
hera,हेर
gham,घाम
ghamailo,घमाइलो
lagyo,लाग्यो
ra,र
ghumna,घुम्न
jaau,जाउँन
kali,काली
banaula,बनाउला
pirati,पिरतीको
ko,छाता
chata,ओढाउ
odau,न
khola,खोला
bagau,बगौं
machi,माछी
marau,मारौ
jalaima,जालैमा
hunchha,हुन्छ
hunna,हुन्न
vana,भनन
ajkalto,अच्कल्टो
mai,मै
chadchau,छाड्छौं
sindur,सिन्दुर
lauchau,लाउँछौं
bhana,भनन
o,ओ
baiguni,बैगुनी
bhai,भै
namare,नमारे
ni,नि
kaile,कैले
nisthuri,निष्ठूरी
najanu,नजानु
sampati,सम्पत्ति
kamayinchha,कमाइन्छ
ye,ए
garchhau,गर्छु
hajura,हजुर
tadako,टाढाको
mahi,म्वाइँ
pugena,पुगेन
bhawanama,भावनामा
aau,नआऊ
yadama,यादमा
kada,काँडा
dekhi,देखि
darai,डराई
nabhagne,नभाग्ने
gara,गर
manchhe,मान्छे
ke,के
bhanchhan,भन्छन्
maanle,मनले
je,के
bhanchha,भन्छ
ti,एकदिन
sabale,सबले
chinchha,सुन्छ
nalukai,नलुकाई
maanka,मनका
bimbaharu,विम्बहरू
desh,देश
nepal,नेपाल
dui,दुई
deshharu,देशहरु
dwara,द्वारा
gherieko,घेरिएको
china,चीन
uttarpatti,उतरपट्टि
awasthit,अवस्थित
paschim,पश्चिम
purva,पुर्व
dakshin,दक्षिण
bharatle,भारतले
dhakeko,ढाकेको
tin,तीन
bhaugolik,भौगोलिक
kshetraharu,क्षेत्रहरू
chhan,छन्
himalaya,हिमालय
parbatiya,पर्वतीय
tarai,तराई
deshma,देशमा
jadoma,जाडोमा
chiso,चिसो
sukhha,सुख्खा
garmima,गर्मीमा
andhibehari,आँधीबेहरी
barsha,बर्षा
badhipahiro,बाढिपहिरो
hunachhan,हुनछन्
yasma,यसमा
koshi,कोशी
gandaki,गण्डकी
karnali,कर्णाली
jasta,जस्ता
lamo,लामो
chaunda,चौंडा
nadiharu,नदीहरू
hamisanga,हामीसँग
rupa,रुपा
beganas,बेगनास
rara,रारा
thula,ठूला
talharu,तालहरू
hariyo,हरियो
upatyaka,उपत्यका
sundar,सुन्दर
jharna,झरना
aadi,आदि
lumbini,लुम्बिनी
gorkha,गोरखा
janakpur,जनकपुर
kathmandu,काठमाडौं
prakhyat,प्रख्यात
udaharanaharu,उदाहरणहरू
hun,हुन्
atyadhik,अत्यधिक
vividh,विविध
dhani,धनी
bhugol,भूगोल
sanskriti,संस्कृति
dharmharuko,धर्महरूको
himali,हिमाली
uttarma,उत्तरमा
vishwaka,विश्वका
chaudha,१४
uchchatam,उच्चतम
pahadharumaddhye,पहाडहरूमध्ये
aath,आठ
urvara,उर्वर
ardra,आर्द्र
kshetra,क्षेत्र
sahari,शहरी
dharmaka,धर्मका
manis,मानिस
baschan,बस्छन्
lagbhag,लगभग
saya,सय
bhashaharu,भाषाहरु
bolinchhan,बोलिन्छन्
lokapriya,लोकप्रिय
khanaharu,खानाहरू
dal,दाल
bhat,भाट
dindo,डिन्डो
gunrdruk,गुनर्दुक
ityadi,इत्यादि
dashain,दशैं
tihar,तिहार
losar,लोसार
sabhaibhanda,सबैभन्दा
chadparvaharu,चाडपर्वहरू
sano,सानो
tara,तर
prakritik,प्राकृतिक
srotsadhanma,स्रोतसाधनमा
arthik,आर्थिक
awasthale,अवस्थाले
garda,गर्दा
garib,गरीब
vikaasonmukh,विकासोन्मुख
chado,चाँडै
vikas,विकास
garnaka,गर्नका
lagi,लागि
aajdekhi,आजदेखि
hamile,हामीले
deshko,देशको
sabai,सबै
nagarikta,नागरिकता
bare,बारे
sachet,सचेत
