romanized,devanagari
mero,मेरो
naam,नाम
bhisma,भीष्म
ho,हो
mero,मेरो
naam,नाम
bhism,भीष्म
ho,हो
ma,म
timilai,तिमीलाई
maya,माया
garchu,गर्छु
m,म
timilai,तिमीलाई
mya,माया
garchu,गर्छु
timi,तिमी
kasto,कस्ता
chau,छौ
ma,म
sanchai,सन्चै
chu,छु
m,म
sanchai,सन्चै
chu,छु
kaha,कहाँ
jane,जाने
ho,हो
kati,कति
bela,बेला
aaune,आउने
ma,म
ghar,घर
janchu,जान्छु
m,म
ghar,घर
janchu,जान्छु
ma,म
padhaai,पढाइ
garchu,गर्छु
m,म
padhaai,पढाइ
garchu,गर्छु
timi,तिमी
ramri,राम्री
dekhiyau,देखियौ
ma,म
birse,बिर्से
m,म
birse,बिर्से
sabaai,सबै
thik,ठीक
cha,छ
malai,मलाई
thaha,थाहा
chhaina,छैन
mlai,मलाई
thaha,थाहा
chhaina,छैन
ma,म
aaudina,आउदिन
m,म
aaudina,आउदिन
aaja,आज
k,के
garnu,गर्नु
bholi,भोलि
bhetaula,भेटौँला
ma,म
ta,त
thakko,थाक्को
m,म
ta,त
thakko,थाक्को
timi,तिमी
kahile,कहिले
farkine,फर्किने
malai,मलाई
timro,तिम्रो
yaad,याद
aayo,आयो
mlai,मलाई
timro,तिम्रो
yaad,याद
aayo,आयो
ma,म
timro,तिम्रो
lagi,लागि
chhu,छु
m,म
timro,तिम्रो
lagi,लागि
chhu,छु
